Unnamed: 0,customer_review,airline,recommended,departure,destination,departure_lat,departure_lon,destination_lat,destination_lon
12,"✅ Trip Verified | Tehran to New York via Istanbul. Terrible experience and terrible customer service! Will never fly again. I tried to change my flight date, called the airline and they made the changes. Told me I would be getting a confirmation email after I hang up (Never received it). I called back, submitted my request again and was told that someone would get back to me in at most 7 days (Never happened again). I called back (this was 3 days to the actual flight date), was told I need to go to a Airline office to make a change!. The closest office to me is 250 miles away. Also, there was a schedule change on the ticket that I did not confirm. When I called, I was told that I would not get charged the penalty, I ended up getting charged+the fare difference (almost 500$). In addition to the trip cost (200$) for a one way trip. So this has never happened before with any other airline. It would have been easier to cancel and buy a new flight which would have cost me around $800 for a two way.",Turkish Airlines,1,Tehran,New York,35.6892523,51.3896004,40.7127281,-74.0060152
13,"✅ Trip Verified | Belgrade to Athens via Istanbul. My first flight departed with delay from Belgrade due to local weather conditions in Istanbul. I requested for a connection assistance in order to catch my second flight but the airline did not provide me such assistance. I managed to arrive at the gate of departure of my second flight while boarding was not completed and while the screen mentioned 'last call' but I was denied boarding because 'the system had unchecked me from the second flight due to late arrival of my previous plane'. People were boarding in front of my eyes on the plane. The Turkish Airlines officer deceivingly told me to go to another gate (215) because another plane was waiting for me. He just got rid of me. Gate 215 was near the rebooking office of Turkish Airlines for the issuance of new tickets. Although I was condemned to stay overnight at the airport, I was not proposed hotel accommodation or a meal. I was put on another flight departing next morning without even offered the possibility to select my checked seat (the officer rejected my request for an aisle position despite the fact that the plane was half-empty!). I filled a complaint form for denial of boarding and they replied that they are not responsible for a flight delay due to weather conditions. Turkish Airlines maybe is a large company but it manages these type of routine problems poorly as a low budget airline.",Turkish Airlines,1,Belgrade,Athens,44.8178131,20.4568974,33.9597677,-83.376398
14,"✅ Trip Verified | Dublin to Tel Aviv via İstanbul. First of all our flight was delayed for over an hour, but that’s fine we crossed that bridge, then when we arrived in İstanbul airport we were told that we missed our connection flight. Ridiculous considering the fact the tickets were bought from Turkish Airlines and not from different companies, ok, 10 minutes of talking to customer service and we got new tickets from İstanbul to Tel Aviv (not same comfortable plane as it supposed to be but still something) Arriving in Tel Aviv we found our 3 bags on the belt but so called oversized bag (which was actually a doll birthday box for my daughter) was missing almost 2 hours waiting for it to be found (no luck) then another half an hour of registering with lost&found made us exhausted (myself my husband and 2 kids aged 3 and 5 at 5am in the morning is no fun at all) We supposed to pick up our rental car in between 3-4am and when we came to get it apparently the car was gone to another customer because we were late. We had no choice but get another more expensive car that was available (I think Turkish airlines should be liable for that as well) We registered lost baggage gave the address and phone number in Petah and asked them to deliver it there as we were going to Eilat for a few days. I was pretty much confident that should be no problem with contact details. I was 5 days later arriving back to Tel Aviv and with no contact from lost&found I rang them to see what’s the story and I was shocked when I heard that my baggage was delivered to me the following day! Where? When? To who? The answer was simple we have in our system that you baggage left to Eilat next day and was delivered to the hotel so we are really sorry but you have to get it yourself from there! How come they left my baggage in the hotel without notifying me? Answer was: Delivery company rang you but there was no answer. Left a message? I doubt it I think it’s pure lies) Anyway I said I want my baggage back please get it to me! Oh you know it might take couple of days. Fine I said just get it please! Few days later I rang again because nothing came and find out that delivery man came to the hotel in Eilat asked for me but because me and my spouse have different surnames he was told that there’s no such person registered (but then the question is how could he leave it there if he was told the person is not there) Again I was promised that few days later I will get it. As you can imagine I didn’t. Rang again today asked for the manager (was told the manager is in holiday) got to speak to supervisor and what a surprise she said that the baggage is not in the hotel in Eilat but in airport Eilat and because it’s holiday (Pesah) the airport is closed and they can’t get it. And she said you know it’s your fault that it went to Eilat. When I asked her name she refused to give and hanged up on me.",Turkish Airlines,1,Dublin,Tel Aviv,53.3493795,-6.2605593,32.0852997,34.7818064
15,"✅ Trip Verified | Houston to Kiev via Istanbul. Fares seem competitive, but there is a catch in terms of layover time. Mine from Houston to Kiev Via Istanbul had a return leg layover of 14 hours and though TK website says that a layover of over a certain hours gets a complimentary hotel stay. But there is a fine print somewhere which they always get a disqualified citing some wired “rules” that I, even as a frequent traveler cannot comprehend. Another notable difference in Turkey is that there are endless and multiple security checks, and one wonders if one is going through a war zone . Lines at security checks and passport control ( yes, if you need to stay at a hotel for a long layover, one needs to get an e-VISA just to get out, check into a hotel and get back to airport to catch the connecting flight). Ended up paying way more than if I had chosen other airlines like LH or SAS, which I will keep in mind next time",Turkish Airlines,1,Houston,Kiev,29.7589382,-95.3676974,50.4500336,30.5241361
16,"✅ Trip Verified | Tashkent to Istanbul. A poor experience with Turkish Airlines. The guy who seemed to be the cabin chief was acting in a very extremely rude way towards the passengers, almost yelling at them, mostly hurrying people to sit down quickly. Very unprofessional. The tightest space for seating I experienced, apart from a low cost carrier in Indonesia. A mess with luggage, clearly too many volumes allowed onboard.",Turkish Airlines,1,Tashkent,Istanbul,41.3123363,69.2787079,41.006381,28.9758715
17,"✅ Trip Verified | Istanbul to Prague. The crew was very polite. Wide seats, good entertainment and I like the safety video. I had a morning flight so they served breakfast. Food was on point and delicious. The only bad remark is that they don't serve cold beverages on their second round of stroll.",Turkish Airlines,0,Istanbul,Prague,41.006381,28.9758715,50.0874654,14.4212535
18,✅ Trip Verified | Nakhchivan to Istanbul. The flight set off a little bit late and boarding was disorderly with too many passengers carrying oversized baggage on board. The aircraft appeared to be old with drop-down screens for entertainment which were virtually useless. Cabin service was not very good and staff appeared not to care.,Turkish Airlines,0,Nakhchivan,Istanbul,39.217497,45.4069671,41.006381,28.9758715
19,✅ Trip Verified | London Heathrow to Istanbul. The flight from LHR took off on time. Boarding was hassle free. Seating was 3x3x3. Legroom was average but I had an emergency exit row seat. Cabin service was average with not many smiles. The flight was smooth as was the landing.,Turkish Airlines,0,London Heathrow,Istanbul,51.467739,-0.4587801,41.006381,28.9758715
20,✅ Trip Verified | Istanbul to Trabzon. Boarding was fast. I thought flight will be on time but no! Taxi took forever. We've waited 40 minutes to take-off. Don't remember if I've heard any explanation from cabin crew. I'd prefer 60 minutes at airport to 40 minutes at a plane seat. Cabin crew was good. Sandwich and drink giveaway was nice. Cheap price.,Turkish Airlines,0,Istanbul,Trabzon,41.006381,28.9758715,41.0054605,39.7301463
21,"✅ Trip Verified | Izmir to Istanbul. It was my first Boeing 777 experience. They gave a free hot sandwich with cheese and vegetables and a drink. Hot and cold options were rich. Cold ones weren't very cold but you can add some ice to them. Plane was really big and crowded yet there were no problem with fresh air and air conditioning. Well, maybe one. One of the cabins leaked some water to a passenger. They suddenly suggested he change his seat, he refused. Flight on time, good cabin crew. And this time, it was extremely cheap.",Turkish Airlines,0,Izmir,Istanbul,38.23166,27.02997,41.006381,28.9758715
22,✅ Trip Verified | New Delhi to Cappadocia via Istanbul. I took a flight from New Delhi 6:15pm on 16th April it got delayed by 1.5hours and flew at 7:50pm. I had a connecting flight at 12:20pm on 16th April to Cappadocia from Istanbul but as I reached late due to delay from this airline I missed my flight. They gave me a flight for 11:30 pm without providing any hotel accommodations. Later I had to force them to give me a earlier flight as I was tired so they gave me a flight for 8:35pm TK 2018 which also was delayed and the flight departed at 10:50pm. I some how was happy that at least I reached Cappadocia but my whole day and hotel booking was wasted. I went to pick my luggage but as to my surprise my luggage did not arrive and I was told it’s arriving in the next flight and they shall have it sent to my hotel. I came to my hotel and not it’s about 4pm on 17th April and my luggage has still not arrived even after making several calls. This airline has charged me a lot without giving any good service or facility. I would highly recommend not to book Turkish Airlines ever to any one unless they want to waste their time and money. Don’t know when will my luggage arrive and till when I have to sit in my hotel and waste time as I cannot freshen up unless I get my clothes and got out to see this city.,Turkish Airlines,1,New Delhi,Cappadocia,28.6419258,77.2217499,41.9815716,13.2766093
23,"Not Verified | Singapore to Zagreb via Istanbul. Customer service at Istanbul Airport is horrible. I miss my connecting flight upon arriving in Istanbul from Singapore. I have ask the flight attendants onboard regarding my connecting flight. She assure me that I have no problem doing the connection. Upon arrival, there was no staff to assist. My flight was not showing on the display. I end up going to their care point counter. The staff there is the worst. I would give the rating negative 1. They just took their time to figure out your next flight. If I have not insisted that I need to fly on the same day, they just put me on the next day flight. This is the worst terminal service I come across in my 10 years of travel.",Turkish Airlines,1,Singapore,Zagreb,1.357107,103.8194992,45.8130967,15.9772795
24,"✅ Trip Verified | Baku to Amsterdam via Istanbul. They still operate like a third world airline. Check in counter staff at the new airport was ignorant (when she finished my check in, she just left the boarding pass and my passport on the counter instead of handing them to me). I changed my seat the previous night when doing the online check in. When boarding the agent said I had the wrong seat and put me back at my old seat. I asked why, and she said they changed plane. She just made that up.",Turkish Airlines,1,Baku,Amsterdam,40.3755885,49.8328009,52.3730796,4.8924534
25,"Not Verified | New York JFK to Tel Aviv via Istanbul. Do not fly Turkish Airlines! We had round trip scheduled March-April 2019. Just before leaving on our trip they cancelled the second leg of our return flight and placed us on another flight which involved a 14 hour layover in Istanbul airport. Then, upon arrival in Istanbul on our way out to Tel Aviv they cancelled the second leg of this part of the trip as we stood at the gate waiting for departure and put us on another flight several hours later because the later flight was not full. Imagine 300 People at an airline gate waiting as staff filled out new boarding passes for everyone by hand!. We cancelled our return arrangements (without refund) and flew another airline home at the end of our vacation. Rather lose the money then deal with this airline any further!",Turkish Airlines,1,New York JFK,Tel Aviv,40.6429479,-73.7793734,32.0852997,34.7818064
26,"✅ Trip Verified | Kathmandu to Berlin via Istanbul. Their service is worst because they usually overbook the flight and it was like first come first serve basis and airport staff don’t even listen the customer request. They treat people like they are doing favor to them. Flight often delayed by 2- 4 hours and they don’t care about your connecting flight. In my return flight after issuing boarding pass, my seat plan was changed without any notice and in flight entertainment system is damaged and it was 9 hours long flight. I have requested several times but they don’t care and don’t give attention to the passengers request.",Turkish Airlines,1,Kathmandu,Berlin,27.708317,85.3205817,52.5173885,13.3951309
27,"✅ Trip Verified | Montreal to Bucharest via Istanbul. Delicious food, great choice of beverages. Cabin crew kind and careful. I would choose Turkish again and can recommend them.",Turkish Airlines,0,Montreal,Bucharest,45.5031824,-73.5698065,44.4361414,26.1027202
28,"✅ Trip Verified | Guangzhou to Barcelona via Istanbul. I wonder if customer service really exists for this airline. My luggage has been gone missing already two days and there has been no update for the last 24 hours already! I called the customer service almost ten times in the last 2 days and it is never answered. In their online luggage tracing system, they don't even update what they did or how long I need to wait. I doubt that I would ever book Turkish Airline again. As a frequent flier of the long-haul flights, I have never experienced lost luggage. I know that it is not uncommon that luggage can be delayed or missing. But what is lacking is their customer service.",Turkish Airlines,1,Guangzhou,Barcelona,23.1301964,113.2592945,41.3825802,2.177073
29,"✅ Trip Verified | Istanbul to Vienna. Another ordinary fight by Turkish Airlines. Food excellent, but as always there's a mess with a queue when boarding process. This airline really has to strict about the rules to all customer, as my experiences this is the worst airline for boarding process.",Turkish Airlines,1,Istanbul,Vienna,41.006381,28.9758715,48.2083537,16.3725042
31,"✅ Trip Verified | Atlanta to Amman via Istanbul. Beside being one of the filthiest airport bathrooms and cheap of course for not making it easy to use the Wi-Fi, they make us wait 5 more hours in the transit just because they can fill up the plane by merging another plane for people who are going to Amman without giving us any notice! And after waiting hours now to check-in online, now they saying check-in at the counter. Bad food on the plane, bad select of movies and entertainments and of course bad customer service in the airport.",Turkish Airlines,1,Atlanta,Amman,33.7544657,-84.3898151,31.9515694,35.9239625
32,"✅ Trip Verified | Manchester to Bangkok via Istanbul return in the last month. All flights were on time. Excellent food and drink service. Lovely staff and a smile on their faces. Great airline, cheap prices, excellent service.",Turkish Airlines,0,Manchester,Bangkok,53.4794892,-2.2451148,13.7524938,100.4935089
33,"Not Verified | Mumbai to Istanbul. One of the worst experiences of our life has been this trip on Turkish Airlines. After booking a confirmed flight on 6th April we were offered one in which the connecting flight leaves 2 days earlier than we land. Thankfully we didn't select this by mistake. Then we were given a new itinerary which needed us staying overnight at Istanbul. We were then given a hotel room outside the airport which needed us to spend 220 USD on an express visa to enter Turkey plus an additional 100 USD on travel. The airline doesn't give you rooms in the airport, which turns out to be more expensive for the passenger as there is no proper public transport to our hotel room and Turkish won't pay for it. To make matters worse today the check in doesn't work and they've told us we need to reach early to the airport if we need good seats. Avoid this airline for its terrible customer service.",Turkish Airlines,1,Mumbai,Istanbul,19.054999,72.8692035,41.006381,28.9758715
34,"✅ Trip Verified | Prague to Istanbul. Just ordinary fight served by Turkish Airlines. Food excellent, but as always there's a mess with a queue when boarding process. This Airline really has to strict about the rules to all customer, as my experiences this is the worst airline for boarding process.",Turkish Airlines,0,Prague,Istanbul,50.0874654,14.4212535,41.006381,28.9758715
35,"✅ Trip Verified | Amsterdam to Bangkok via Istanbul. I wont book again after the conditions I flew in. Food: tasty. Over the average for an airline. In-flight entertainment: large variety of movies. Cabin crew: negligent and sloppy, to a frustrating level. So many episodes where they disregarded very simple requests from passengers or (worse) caused problems due to their disorganization. Gate crew: at the check-in I chose a spot that would allow me to easily access the bathroom, that I need for medical reasons. At the gate the seat got striked through and I have been re-assigned, no explanations provided. When I asked for the seat to be changed to an aisle seat, I have been told by the cabin crew to temporarily sit on the assigned seat. After take-off, my request got ignored for the whole flight, regardless many seats were empty. Seats extremely unconfortable and impossible to sleep in (very old plane for a 10h flight). Mine was even broken so I could not sleep at all. Food service: chaotic to the point that some people started to serve themselves due to the fact that their requests were disregarded or forgotten. Overall a very bad experience that leaves me confused at how this company won any awards. At first I also gave it the benefit of the doubt that's why I waited to write the review but the return flight confirmed all the negligent behaviors I saw on the departure flight. Other airlines offer very similar prices and the cons don't make up for the flight conditions you will experience.",Turkish Airlines,1,Amsterdam,Bangkok,52.3730796,4.8924534,13.7524938,100.4935089
36,"✅ Trip Verified | Venice to Ankara via Istanbul. Instead of taking off on time the fight was originally delayed (on the information table was written 10 minutes). I was satisfied with the information (it is possible to be delayed). The next information which followed invited us to go to the gate. More than 75% of passengers created the line in front of the desk and we were waiting for opening the gate. It was the first mistake, after 45 minutes the staff changed the departure time on the information desk for 10.50 a.m. Nobody knew that the game was started. The plane was delayed by more than 60 minutes. It is usually that the staff will give you any additional information about the connection flights. Unfortunately, it is not the case of Turkish Airlines . After the arrival, I run from the plane through the tunnel in the terminal and hoped to catch the flight to Ankara. The guy who was wearing the TA uniform and who was waiting at the end of the tunnel showed me the direction where I should have found the gate of for my flight. Of course, it was the wrong direction and I had to run back. After that, I had to go through the x-ray frame and I have lost another 10 minutes although I didn't leave the secured area. When I came into the main hall I sew that the gate is closed. Until this moment nobody has apologized for the inconvenience and to this day too. This horror trip was still not at the end. I tried to find the TA office and I found only the TA desk where was it possible to buy new tickets. When I started to explain my situation and the guy behind the desk recognised that I am not a new potential customer his face expression changed rapidly and his bored voice said to me that he is not responsible for information. The problem was closed for him. After a few minutes, I found the desk with the logo TA in the check-in sections. I run there to solve the problem and I tried to inform the first staff about my situation. His answer was: ""Wait a minute"".. I didn't want to wait and I said to him, that his company is responsible for the situation and I expect more empathy and full service for customers. No answer, only disgusted reaction visible in his mimic and he showed me with the finger another TA worker sitting next to him. This person let explain to him my situation again and he printed a new boarding pass for the flight at 6.00 p.m. I checked the departure on the screen and by my next flight was additional information that it is delayed 40 minutes before the departure. I asked the guy again whether it is mean serious and my second question was why it is not possible to get the ticket for the flight at 5.00 p.m.? The answer was given with the highest arrogance in his voice.""The flight is full!"". And it is still not the end of the troubles, instead of being delayed 40 minutes the ""great"" TA let me wait one hour longer in comparison with original departure schedule. The service was the mess and the behaviour of the employees was everything but not professional.",Turkish Airlines,1,Venice,Ankara,45.4371908,12.3345898,39.9207759,32.8540497
38,"✅ Trip Verified | Helsinki to Kiev via Istanbul. Flying Turkish Airlines for the very first time. I was simply shocked, in a good way. I have never seen a more spacious plane with such leg room in economy class. The served meal was just lovely, cabin crew as well. 10/10.",Turkish Airlines,0,Helsinki,Kiev,60.1698897,24.9384719,50.4500336,30.5241361
41,✅ Trip Verified | Amsterdam to Bangkok via Istanbul. Flight boarded four hours late with no communication during this delay. Boarding was a complete shambles with everybody scrambling to get on. Once boarded the business class crew looked completely uninterested which continued throughout the flight. The level of communication skills in English from the cabin crew and cockpit falls well below standard. The crew came across as though they were doing you a favour when I asked for a drink. A very poor overall experience.,Turkish Airlines,1,Amsterdam,Bangkok,52.3730796,4.8924534,13.7524938,100.4935089
42,"Not Verified | New York to Tel Aviv via Istanbul. Never again. While staff was excellent, plane was hot and extremely uncomfortable. Painfully uncomfortable. Several passengers requested for cabin air to be cooled. No avail. Plane was dirty. Get ready for your back and knees to hurt.",Turkish Airlines,1,New York,Tel Aviv,40.7127281,-74.0060152,32.0852997,34.7818064
43,"✅ Trip Verified | Manila to Istanbul. If you ever flew with Emirates or Qatar Airways, you will miss their service if you fly Turkish Airlines. I only saw the crew, when they served meal after departure, before Arrival and running around from the front to the back and vice versa. Never offered Drinks or Snacks. Water for an almost 13 hour flight is essential, but was never offered.",Turkish Airlines,1,Manila,Istanbul,14.5904492,120.9803621,41.006381,28.9758715
44,"✅ Trip Verified | Dhaka to Copenhagen via Istanbul. This trip was full of disappointments. Already the airport lounge, Dhaka, demanded money for a glass of wine, unheard. I am a frequent flyer, I have never experienced business class lounge charging a business class passenger, for a glass of wine. Next, on board, no welcome drinks. I asked for a newspaper and a drink, the choice was a glass of water or a lemonade. After take-off, no beverage and snacks, just the meal, which was disgusting. My choice was beef, which was cold, dry, served with some bean and carrots, also cold. I asked for a glass of red wine, but waiting and waiting, I tried to draw the attention of a crew, who was talking with another passenger in the front row. Then I had to get up went where he was enjoying a conversation with the passenger. I made my request- I got served a glass of wine-. I expressed my gratitude- and the crew explained the delay- he had to take care of a CIP. The meal was eatabel, so asked for a cup of coffee and a glass of cognac. Surprise- the crew said there was no cognac. I showed the menu, which showed cognac was available. Well, had almost 6hours layover at Istanbul airport lounge, which was OK. About 90 minutes prior to board, we were asked to go the the gate. After completion of checking tickets and passports, we were waiting to board- almost 45 minutes had to wait and then bus to the plain. The flight was on way to Copenhagen. There were a grpoup of Danish passengers,. A elderly gentleman asked for lass of cognac, the crew was about to serve a generous glass of cognac. Another female crew rushed and snatched the glass, poured half of the content to another glass and then served the guest. We had a laugh- that was entertaining.- but not convincing for making Turkish Airline the choice any more.",Turkish Airlines,1,Dhaka,Copenhagen,23.7643863,90.3890144,55.6867243,12.5700724
45,"✅ Trip Verified | Hanoi to Milano via Istanbul. As we 4 arrived this morning from Hanoi at 6 am (TK168) we learned that our connecting flight to Milan TK1873 had been cancelled. No assistance was given to passengers, everybody had to wander around the immense airport, address the numerous TK people behind desks each of whom seemed to take care of anything but customer service and only care to dispatch people somewhere else. Finally we got to the right desk and were given the TK flight leaving at 16.15, 10 hours waiting time. We were assured this was the first possibility open. To our surprise we discovered that there is a previous flight leaving at 12.45 with seats available. Hundreds of people crowded at the desk with only 2 employees working so we gave up trying to anticipate our flight, and no contact was possible on the phone.",Turkish Airlines,1,Hanoi,Milano,21.0283334,105.854041,45.4641943,9.1896346
46,✅ Trip Verified | Manila to Vienna via Istanbul. Seats are comfortable. In-flight media selection is great and updated. Food is good. Paid in-flight Wifi (MNL-IST) is excellent for long-haul flights. No Wifi for IST-VIE. Cabin crew not friendly but not bad either. Boarding can be quite delayed. Gate announcements are delayed (sometimes changed at the last minute) - be careful! You might miss your flight especially if you have a hard time finding gates.,Turkish Airlines,0,Manila,Vienna,14.5904492,120.9803621,48.2083537,16.3725042
47,"Not Verified | Boarding totally chaotic and far too long. Nice meal, creepy safety video which distracted the people more than giving them advice. Crew notifications (strong turkish accent, sound quality) hardly understandable, even for native speakers. Economy legroom and seat width did not at all suit the flight duration on the first flight from Phuket to Istanbul (11 hours), more equal to short-distance low costers. (disclaimer: I had a seat at an emergency exit, luckily). WiFi did not work for me and others at all, for some more expensive devices it did, but very slowly (asked my neighbours and staff for help, but no way to get it working). Very expensive seat pre-selection (160+30€ for a 400€ flight), so I did not take it and was lucky at the airport check-in.",Turkish Airlines,1,Phuket,Istanbul,7.9366015,98.3529292,41.006381,28.9758715
48,"✅ Trip Verified | Istanbul to Amsterdam. Although a bit worn and older than A330-300, the economy cabin of A330-200 is more comfortable than 333's. This flight had a good seat pitch for a short haul flight. Ground service was smooth and cabin crew was one of the best I have seen at Turkish. Since the second choice of meal was out, we were offered more complimentary drinks. The only setback in this flight was the old, an outdated-interfaced IFE with a limited selection. After a few years of slight disappointments, I am happy to include Turkish Airlines into my highly preferred airlines once again.",Turkish Airlines,0,Istanbul,Amsterdam,41.006381,28.9758715,52.3730796,4.8924534
49,"✅ Trip Verified | Ankara to Istanbul. Although there was no IFE in this version of 737-800, it is a flight that takes less than an hour. Seat pitch and comfort was probably best I have seen in a 737-800. A delicious short-haul panini and drinks deserve the points.",Turkish Airlines,0,Ankara,Istanbul,39.9207759,32.8540497,41.006381,28.9758715
51,✅ Trip Verified | Istanbul to Ankara. Great short-haul flight. A warm delicious panini was accompanied by a selection of drinks. Turkish's IFE selection was ready in full. Overall a very pleasant flight.,Turkish Airlines,0,Istanbul,Ankara,41.006381,28.9758715,39.9207759,32.8540497
